NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP	GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP	Details ...	194	0.3560392	1.8894261	0.0	0.0034013607	0.002	2794	tags=31%, list=15%, signal=37%	
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_UP	GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_UP	Details ...	192	0.29814675	1.5905119	0.0	0.01680272	0.026	3662	tags=32%, list=20%, signal=39%	
GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN	GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN	Details ...	191	0.22658111	1.2280256	0.076744184	0.13999997	0.281	2575	tags=24%, list=14%, signal=27%	
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_DN	GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_DN	Details ...	164	0.19465365	1.0378797	0.37179488	0.3646527	0.701	3748	tags=27%, list=21%, signal=34%	
